party;step;pv;area;change;pop;change_st
Australian Labor Party;0;48;Asia&Oceania;0;;
Australian Labor Party;1;50;Asia&Oceania;142;5;142
Australian Labor Party;2;45;Asia&Oceania;360;-6;218
Australian Labor Party;3;43;Asia&Oceania;471;-10;112
Australian Labor Party;4;48;Asia&Oceania;991;2;520
Australian Labor Party;5;45;Asia&Oceania;2273;-3;1282
Australian Labor Party;6;40;Asia&Oceania;2751;-15;477
Australian Labor Party;7;47;Asia&Oceania;2839;2;88
Australian Labor Party;8;50;Asia&Oceania;2878;8;39
Australian Labor Party;9;49;Asia&Oceania;2994;7;116
Australian Labor Party;10;43;Asia&Oceania;3262;-6;267
Australian Labor Party;11;40;Asia&Oceania;3381;-13;120
Australian Labor Party;12;45;Asia&Oceania;3430;1;49
Australian Labor Party;13;49;Asia&Oceania;3678;10;248
Australian Labor Party;14;48;Asia&Oceania;3740;6;62
Australian Labor Party;15;46;Asia&Oceania;3780;3;41
Australian Labor Party;16;39;Asia&Oceania;4137;-11;357
Australian Labor Party;17;45;Asia&Oceania;4349;3;212
Australian Labor Party;18;39;Asia&Oceania;4723;-11;374
Austrian Freedom Party;0;7;Central Europa;0;;
Austrian Freedom Party;1;8;Central Europa;111;18;111
Austrian Freedom Party;2;7;Central Europa;361;10;250
Austrian Freedom Party;3;5;Central Europa;565;-14;204
Austrian Freedom Party;4;6;Central Europa;770;-11;204
Austrian Freedom Party;5;5;Central Europa;1425;-13;655
Austrian Freedom Party;6;5;Central Europa;1752;-13;328
Austrian Freedom Party;7;6;Central Europa;2092;-1;339
Austrian Freedom Party;8;5;Central Europa;2161;-19;69
Austrian Freedom Party;9;10;Central Europa;2324;76;164
Austrian Freedom Party;10;17;Central Europa;2469;147;144
Austrian Freedom Party;11;22;Central Europa;2511;182;42
Austrian Freedom Party;12;22;Central Europa;2572;180;61
Austrian Freedom Party;13;27;Central Europa;2724;203;152
Austrian Freedom Party;14;10;Central Europa;2944;140;220
Austrian Freedom Party;15;11;Central Europa;3097;150;153
Austrian Freedom Party;16;18;Central Europa;3172;209;75
Austrian Freedom Party;17;21;Central Europa;3329;226;158
Austrian Freedom Party;18;26;Central Europa;3423;253;93
Austrian People’s Party;0;41;Central Europa;0;;
Austrian People’s Party;1;46;Central Europa;432;11;432
Austrian People’s Party;2;44;Central Europa;970;8;538
Austrian People’s Party;3;45;Central Europa;1064;10;94
Austrian People’s Party;4;48;Central Europa;1165;17;100
Austrian People’s Party;5;45;Central Europa;1353;9;188
Austrian People’s Party;6;43;Central Europa;1972;6;620
Austrian People’s Party;7;43;Central Europa;2383;5;410
Austrian People’s Party;8;42;Central Europa;2471;3;88
Austrian People’s Party;9;43;Central Europa;2666;6;195
Austrian People’s Party;10;41;Central Europa;2999;2;334
Austrian People’s Party;11;32;Central Europa;3224;-21;225
Austrian People’s Party;12;28;Central Europa;3252;-35;28
